Comments,Image,Avatar_URL,Date of Review,Name of Reviewer,Location,phmbo,phmbo1,qwuub_URL,Comment Title,Date of Stay,Response from hotel staff,Response time,Response comment,
"Hotel itself was in a beautiful building, the interior was complimentary for the architecture.  The staff were incredible polite and helpful, and the room itself was very well presented, comfortable and quiet.  I would highly recommend for a visit to the city as it is easily accessible to the centre, including bars and restaurants.",,https://www.tripadvisor.co.uk/Profile/KittyTrix,Kitty wrote a review Mar 2017,Kitty,,16 contributions,5 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r471374664-Bristol_Marriott_Royal_Hotel-Bristol_England.html,"Ideal location, beautiful hotel with excellent staff & facilities",Date of stay: September 2016,,,,
"Attended on a Saturday afternoon with 17 females as part of a Hen Party. Staff were very attentive and polite. The setting of the room was fabulous. Gorgeous lighting and carved statues, made you feel you were somewhere quite special. Nothing negative to say. Generally everything was ..... fine. However, I felt what we got was overpriced. Small glass of fizzy, one coffee, 3 finger sandwiches, 2 scones and 3 bite size cakes. This cost £27 each including a service charge that was automatically included. All I'm saying is, there are other large outlets and hotels that offer a better selection for less money. In my opinion the ladies would have preferred more savoury items and less cakes. ",,https://www.tripadvisor.co.uk/Profile/Fliptop2009,Fliptop2009 wrote a review Mar 2017,Fliptop2009,"Bristol, United Kingdom",38 contributions,10 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r471171854-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Afternoon tea over rated,Date of stay: March 2017,"Response from Felicity W, Assistant Restaurant & Bars Manager at Bristol Marriott Royal Hotel
Responded 7 Apr 2017",Responded 7 Apr 2017,Dear Fliptop2009     Thank you for taking the time to write a review of your recent afternoon tea experience at the Bristol Marriott Royal Hotel. As we strive to provide our guests with the best experience possible it saddens me to hear that we fell short of our goal on this occasion.      We appreciate the detail of your feedback and will share it with the rest of our team.   Should your travels ever bring you back to the Bristol Marriott Royal Hotel we would love the opportunity to better your experience with us.   Kind Regards  Sophie Boyd,
"Bristol has two Marriott hotels, and although the Marriott Bristol Royal doesn't have a lounge, it is a very nice hotel just off the city centre and close to both shopping and restaurants. Located at College Green, it is a good location to explore the old parts of the city. Whilst the property is a little old the rooms are nice and big and sometimes a little quirky in a good way. They have a decent gym with a good selection of equipment and machines although it cramped in a small place. The leisure club also has a pool and a jacuzzi and a set of beach chairs around the pool area.  The bars and the drawing rooms are nice and has plenty of space. The restaurant is spacious with a good variety of dishes and the breakfast is extensive. The staff and the service is great and as a",,https://www.tripadvisor.co.uk/Profile/MrPhileasF,MrPhileasF wrote a review Mar 2017,MrPhileasF,"London, United Kingdom",2092 contributions,362 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r471158125-Bristol_Marriott_Royal_Hotel-Bristol_England.html,A good hotel for exploring the old town,Date of stay: March 2017,,,,
We enjoyed this hotel for its character and charm. Some of the soft furnishing and decoration needs updating and a fresh coat of paint. But we enjoyed our stay in a large family room with two double beds and a nice sized bathroom. Great central location with an underground car park but at an extra £16 per night. Ouch ! ,,https://www.tripadvisor.co.uk/Profile/402DavidA,David A wrote a review Mar 2017,David A,"Brixham, United Kingdom",43 contributions,18 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r471079218-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Lovely visit ,Date of stay: March 2017,,,,
"The building is simply lovely.  It's Old but beautifully preserved and perfectly situated near to the centre of town.   The rooms are large and well appointed (although plugs near the bed would be good for laptops!) The pool and gym facilities are great, and sadly underused. By FAR the best point was the staff. From reception to the bars and restaurant and the guys in smart red coats waiting to help in reception: all were professional and helpful.  It felt like being in a hotel from the 19th century, being treated like someone 'special' when you walk in the door.  I loved it!",,https://www.tripadvisor.co.uk/Profile/pipcanti,pipcanti wrote a review Mar 2017,pipcanti,"Sydney, Australia",172 contributions,70 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r470233887-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Wonderful stay!,Date of stay: March 2017,,,,
As pretty much all Marriotts the building can easily impress you. Lots of character and many places to explore.   The room we've stayed was quite big (you could fit 3 double beds in it... Not much furniture tho! Also a little dated... but nothing that bad. If you're looking for a room to make you speechless that's not the hotel for you.   It's in a good location and prices are ok also.   Recommend for a short stay.,,https://www.tripadvisor.co.uk/Profile/ton130,To N wrote a review Mar 2017,To N,,58 contributions,35 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r470230487-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Big room but a bit dated,Date of stay: March 2017,"Response from Ashley C, Front Office Manager at Bristol Marriott Royal Hotel
Responded 29 Mar 2017",Responded 29 Mar 2017,Dear To N  Thank you for taking the time to write a review of your recent stay at the Bristol Marriott Royal Hotel. As we strive to provide our guests with the best experience possible it saddens me to hear that we fell short of our goal on this occasion.   We are currently planning a refurbishment for the hotel which we are looking forward to starting hopefully later this year.   Should your travels ever bring you back to Bristol we would love the opportunity to better your experience with us.  Kind Regards  Ashley Cruickshank ,
My first experience of the hotel was the booking process. I booked with a 'pre-paid' rate...stupidly thinking that's that. Just check in online and toddle up to room..NO. Apparently not. I had to pay on the day. This was unexpected and ruined the start of my stay.  The room itself was large but dated. There wasn't a fridge or decent pillows. Two flat pieces of material! For a 4 star hotel it was disappointing..for the money I've had much better. ,,https://www.tripadvisor.co.uk/Profile/Lisa2108,Lisa wrote a review Mar 2017,Lisa,"Bristol, United Kingdom",78 contributions,51 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r469897225-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Sadly disappointing ,Date of stay: March 2017,"Response from Felicity W, Guest Relations Manager at Bristol Marriott Royal Hotel
Responded 25 Mar 2017",Responded 25 Mar 2017,"Dear Lisa2108  Thank you for taking the time to write a review of your recent stay at the Bristol Marriott Royal Hotel. As we strive to provide our guests with the best experience possible it saddens me to hear that we fell short of our goal on this occasion.   I believe you have already been in contact with the hotel regarding the payment for your reservation, however I would once again like to express my most sincere apologies for any inconvenience caused.   We are currently planning a refurbishment for the hotel which we are looking forward to starting hopefully later this year.   Should your travels ever bring you back to Bristol we would love the opportunity to better your experience with us.  Kind Regards  Felicity Walters ",
"We have stayed here a few times now and always enjoy it. We upgraded our room this time to a junior suite which was beautifully light and airy with 5 arched windows and plenty of space. I will definitely request this room again. We were greeted by Andrea on reception (who I had previously spoken to on the phone). She was very pleasant, welcoming and helpful. I wish all reception staff were like her then we wouldn't have any misunderstandings or problems. This hotel is in a good position for walking by the river, to Clifton (if you are fit) or back into town for shopping. We look forward to returning soon.",,https://www.tripadvisor.co.uk/Profile/939traceyb,Tracey B wrote a review Mar 2017,Tracey B,"Sheffield, United Kingdom",246 contributions,178 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r469689174-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Always good,Date of stay: March 2017,,,,
"Beautiful hotel, loved our stay here. The facilities were great, as was the food. Some of the staff let it down, service wasn't always great but would return for the great location and the other positives.",,https://www.tripadvisor.co.uk/Profile/lordjimbob,lordjimbob wrote a review Mar 2017,lordjimbob,United Kingdom,490 contributions,221 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r469592705-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Beautiful Hotel,Date of stay: November 2016,,,,
"We have just spent two nights at this large hotel , convenient for Bristol's many attractions. There is a large underground car park, quite expensive at £17 per night, but at least you know your car is safely parked. I previously stayed here twenty years ago for a professional conference, and the hotel seemed very familiar, with spacious public areas. Unfortunately, in the bar and reception area there is non descript but rather unpleasant music playing. Lighting in the bar was too dim to read by, in the evening, which combined with the unpleasant music, drove me back to my room, which was quite comfortable. The room had a footstool you could position by one of the chairs, a restful facility. However, the mattress was very hard, and before the second night we went to reception,",,https://www.tripadvisor.co.uk/Profile/Millie024,Millie024 wrote a review Mar 2017,Millie024,"Llantwit Major, United Kingdom",485 contributions,223 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r468550120-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Well situated,Date of stay: March 2017,,,,
"I stayed one night in March 2017 when visiting a friend. The hotel is a 15 min walk from the station and easy to find. It's in a great location for shops and restaurants and even the water and the Acquarium, and it's next to the Cathedral and, of course, College Green grassy area. Lovely... The welcome was warm, the room was large and clean and had everything one could want. I went to the spa and it was a little more dingy than I expected, but pretty enough with its Victorian feel. The ladies showers in the changing room were a bit mouldy and need a really good power clean and bleach all over. I enjoyed the pool and steam room and sauna very much. Bed superbly comfy, room quiet, great night's sleep. Down to brekki at 9am and I felt the food wasn't very well laid out. I couldn't",,https://www.tripadvisor.co.uk/Profile/AndreaPLondon,AndreaPLondon wrote a review Mar 2017,AndreaPLondon,London,139 contributions,109 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r468446430-Bristol_Marriott_Royal_Hotel-Bristol_England.html,"Great place to stay in Bristol - lovely staff, perfect location",Date of stay: March 2017,,,,
"I had high expectations of my stay at the marriot royal which sadly weren't quite met. I'll start with the good though.       Breakfast is excellent, truly the best I've ever had in a hotel . The choice available is incredible and there's plenty of staff on hand.    The location is perfect , right in the heart of the city and in easy walking distance to most attractions and shops.   The hotel is clean and professional.    But...  On arrival we were offered a choice of rooms on many floors and asked to make a choice but the chap on reception couldn't give me any reason to choose any particular one so I asked him to give us the best room available with a view if possible.  He said no problem sir  and put us in a room that was noisy all through the night with a view of.....a wall!!",,https://www.tripadvisor.co.uk/Profile/grahams1stfix,grahams1stfix wrote a review Mar 2017,grahams1stfix,"Kingsbridge, United Kingdom",16 contributions,7 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r468346112-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Good but not great....,Date of stay: March 2017,,,,
Had such a lovely stay at the Marriot Royal. I booked several rooms for myself and friends for a hen party in Bristol. The staff were brilliant and friendly!  They even left a complimentary bottle of prosecco on ice. The finishes touches were thoughtful and really impressed the bride.  We would definitly recommend this hotel and would stay again next time I'm in Bristol.,,https://www.tripadvisor.co.uk/Profile/Jctaylor1,Jctaylor1 wrote a review Mar 2017,Jctaylor1,,3 contributions,1 helpful vote,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r467459965-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Lovely Stay!,Date of stay: March 2017,,,,
 Lovely room and bath - plenty of room and had everything including bottled water and iron and ironing board so very comfortable.  Was a bit cold in the night.  Hotel difficulty to get to as roadworks nearby and in town and underground car park was claustrophobic and difficult to work out exit - I had to be rescued from tunnel when trying to leave!,,https://www.tripadvisor.co.uk/Profile/631vickih,Vicki H wrote a review Mar 2017,Vicki H,"Lampeter, United Kingdom",66 contributions,23 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r467448661-Bristol_Marriott_Royal_Hotel-Bristol_England.html,OU conference,Date of stay: March 2017,,,,
As a frequent traveller and staying in many Marriott hotels I amassed enough points for a subsidised stay. However when staying at this particular hotel for pleasure I was greeted with a room which needed a good clean and dust and in check out staff who just didn't care! I was advised on checking in that the room I was planned to have would be noisy so they moved me to a smaller room without any additional perks in the hope I would sleep better. When entering the room it was dusty and then when going to sleep in the evening it was so noisy it was ridiculous. Explaining this to the concierge team in the morning the complaint wasn't acknowledged!!! Due to not wanting to make a scene I left and now find myself posting this review I rarely do As I don't feel this should go,,https://www.tripadvisor.co.uk/Profile/Darrencornish82,Darrencornish82 wrote a review Mar 2017,Darrencornish82,,16 contributions,8 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r467294053-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Noisy and dirty room! ,Date of stay: March 2017,"Response from BRSRY, Guest Relations Manager at Bristol Marriott Royal Hotel
Responded 15 Mar 2017",Responded 15 Mar 2017,"Hello Mr Cornish,  Thank you for your feedback, we have responded to you accordingly through the customer care channel you used earlier this week.",
Excellent location right in the heart of the city. Car park attached ( fee £12 for stay). Staff very friendly and professional. Sat in the bar and enjoyed lunch - all freshly made  (recommend the club sandwich and nachos). The room was spacious and the bathroom luxurious. More freshly cooked food at breakfast. Looking forward to revisiting soon!,,https://www.tripadvisor.co.uk/Profile/mor497,mor497 wrote a review Mar 2017,mor497,"Bedfordshire, United Kingdom",2 contributions,1 helpful vote,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r466968444-Bristol_Marriott_Royal_Hotel-Bristol_England.html,An overnight stay.,Date of stay: March 2017,,,,
"I visited this hotel on 11/03/2017 with my two daughters.  We had treatments in the Spa which were lovely then had afternoon tea in the drawing room of the hotel.  My daughters are both pregnant and therefore needed to request alternative fillings for the sandwiches, are request was met positively and nothing was too much trouble.  The member of staff who took our order also agreed to take a photograph of us. We were well looked after and as we had booked the latest slot for the afternoon tea were able to relax and stay at our table for as long as we wanted. Thank you to all the staff who dealt with us on Saturday, everyone did a great job, very friendly, helpful and professional.",,https://www.tripadvisor.co.uk/Profile/JayCeeTravel27,Jayne wrote a review Mar 2017,Jayne,"Wilmington, United Kingdom",9 contributions,1 helpful vote,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r466853437-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Excellent customer service,Date of stay: March 2017,,,,
Hotel generally ok. Upgraded to premium room. Nice view of city. Beds amazing but room slightly old fashioned and bathroom poor in every way. Would not return because of this. Expensive compared to many other better hotels I have previously stayed in Bristol. ,,https://www.tripadvisor.co.uk/Profile/martincB6918TG,Martin C wrote a review Mar 2017,Martin C,,2 contributions,6 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r466835282-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Good hotel but not as good as expected ,Date of stay: March 2017,"Response from BRSRY, Guest Relations Manager at Bristol Marriott Royal Hotel
Responded 14 Mar 2017",Responded 14 Mar 2017,"Hello Martin,  Thank you for taking the time to provide your valuable feedback, we were very sorry to learn that the hotel had not met your expectations in particular with the bathroom, we do hope this is not deter you from continuing to use the Marriott group.",
"We stayed for one night. The room was clean, and a good size. The hotel is in an excellent location, and staff were pleasant. Did not have breakfast, as there are many cheaper and delicious offerings in Bristol center.",,https://www.tripadvisor.co.uk/Profile/636tessr,Tess wrote a review Mar 2017,Tess,"Bath, England, United Kingdom",34 contributions,18 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r466729777-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Weekend Stay,Date of stay: February 2017,,,,
"Building looks great, the whole of the inside decor and room decor is dated. Looks a bit like a 90's hotel. I had a junior suite and there was lots of yellow/beige colours, old TV's (but they did work and had sky sports which is nice) but bed was very comfy. The air con worked very well. I quite liked the bathroom - a bit dated again but lots of marble. Shower was powerful and hot. In room breakfast was mediocre, hot but not very tasty.   I was there on a Saturday night, on the third floor. Saturday night + Bristol city centre = noise. Lots of it.. until about 2am. Luckily I'm a heavy sleeper and was fine. But location is perfectly central, near lots of restaurants and bars. Internet was very fast too. The view outside my room was scaffolding - but I'm sure for others it was",,https://www.tripadvisor.co.uk/Profile/MattPennyPFC,Matthew P wrote a review Mar 2017,Matthew P,"Bath, United Kingdom",434 contributions,116 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r466723462-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Not too bad,Date of stay: March 2017,,,,
"Great hotel, really made my birthday special, from the upgraded room, then complimentary drinks in the bar and a bottle of Merlot brought to the room. 😊All the staff were really helpfull, especially Front Office & dining room staff. Would love to stay there again. ",,https://www.tripadvisor.co.uk/Profile/jennytA605AA,Jenny T wrote a review Mar 2017,Jenny T,,10 contributions,6 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r466617224-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Birthday treat,Date of stay: March 2017,,,,
"We stayed here for a charity ball event where we met up with friends. The hotel has a really friendly atmosphere and is generally very good, but the rooms, particularly the bathrooms are looking a bit tired.  I feel guilty saying that, but i spend a lot of time in Marriott hotels, and am used to better standards.  They have a great bar and breakfast is fantastic.  The food they prepared for our ball was also really good.  We will stay here again. ",,https://www.tripadvisor.co.uk/Profile/327marcusc,M C wrote a review Mar 2017,M C,"Portsmouth, New Hampshire",187 contributions,61 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r466599911-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Mr C,Date of stay: March 2017,,,,
"We have stayed at this hotel at least a dozen times, although the last time was probably at least 3 years ago. There have been some changes. The old restaurant has gone and replaced with a larger, but tastefully decorated restaurant. Also used for breakfast. It's a shame about the old restaurant, because the food was amazing, the new menu looks like quite ordinary food. We didn't eat a meal there. The old bar area has also gone, the space not being used for anything which seems strange. The new bar is too small for the size of the hotel and the amount of people staying. We had to literally fight our way to the bar, because rather ridiculously, a private function was being hosted in the hotel, and instead of directing guests to a function room with private facilities, they were",,https://www.tripadvisor.co.uk/Profile/kazzacon,Karen C wrote a review Mar 2017,Karen C,"Tidworth, United Kingdom",158 contributions,69 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r466576086-Bristol_Marriott_Royal_Hotel-Bristol_England.html,One of our favourite hotels.,Date of stay: March 2017,,,,
"  Beautiful building, quite tardis-like, with a grand stone entrance slightly marred by smokers.  Very impressed with the staff, they were all very friendly and helpful.  Our basement bedroom was large enough, a little tired but the bed was comfortable and no sounds from other rooms.   Breakfast was a buffet with an extensive range of different hot and cold food. We were shown to a table in the breakfast-room extension in the most beautiful 'ballroom' which is apparently the oldest part of the hotel.   A lovely hotel with old fashioned charm. ",,https://www.tripadvisor.co.uk/Profile/RayeBowe,RayeBow wrote a review Mar 2017,RayeBow,"Farnham, United Kingdom",183 contributions,29 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r465126692-Bristol_Marriott_Royal_Hotel-Bristol_England.html,"Lovely old building, friendly staff, room tired",Date of stay: March 2017,,,,
"We stayed for one night on Sat 4th March and are both incredibly happy with the experience. We expected it to be good but were especially impressed with the level of friendliness of the staff who were attentive and welcoming throughout our visit. The room was very large and exceptionally clean. The decor was tasteful and had nice features which added to it. We did both admit that the carpets in the landings could maybe do with updating and a couple of areas might need touching up. We also wondered by you are not given free parking as guests - seems a bit mean to us. Other than that, a brilliant place to stay. The highlight was the breakfast. We have stayed in many four star hotels and expected a good continental breakfast. Good it was not - outstanding it was. The food was of",,https://www.tripadvisor.co.uk/Profile/HungryBrumdoners,HungryBrumdoners wrote a review Mar 2017,HungryBrumdoners,"Birmingham, United Kingdom",20 contributions,38 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r464760480-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Exceptionally Welcoming,Date of stay: March 2017,,,,
"Had a lovely weekend away to see Chiity Chitty Bang Bang at the Bristol Hippodrome, amazing show, stayed at the Royal Marriott Hotel, amazing place full of character, enjoyed it so much stayed another night, breakfast was huge and so was the room, pool looked lovely and the staff were all pleasant and helpful, on site parking which was a bonus and loads to do down by the water, casino, restaurants plenty, all in all a wonderful weekend away",,https://www.tripadvisor.co.uk/Profile/TracyandMarco,Tracy E wrote a review Mar 2017,Tracy E,"Gloucester, England, United Kingdom",15 contributions,6 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r464732192-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Lovely,Date of stay: February 2017,,,,
We stayed overnight after a theatre visit. Before the theatre it was difficult to get drinks as the bar was so busy. After the theatre the same applied. A poor menu and indifferent food. Lack of adequate staff appeared to be one of the reasons for the very slow service. If you are disabled and arrive by car there appears to be only 2 disabled bays near the hotel entrance and you have to pay for the the privilege. On checking out £4.99 had been added to our bill with no explanation from the hotel to whom we complained. Never again!,,https://www.tripadvisor.co.uk/Profile/BertieBeaton,BertieBeaton wrote a review Mar 2017,BertieBeaton,"Marlborough, United Kingdom",37 contributions,33 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r464689656-Bristol_Marriott_Royal_Hotel-Bristol_England.html,A disappointing stay,Date of stay: February 2017,,,,
"booked hotel after booking a show at the hippodrome due to location,5 mins walk to hippodrome and waterfront/ss great Britain and aquarium-so seemed perfect.booked in a rush so didn't really look at reviews.wife noted a few days later that hotel did have a few bad ones so we were a little worried.weekend away was last weekend of feb-everything was really good. clean/tidy room in good state of repair,staff very attentive polite and helpful.food and drinks of good standard/variety.everything you could want/need at breakfast. all good-nothing to worry about.enjoyed our stay immensely-would definitely stay again and recommend.",,https://www.tripadvisor.co.uk/Profile/abr1969,antony r wrote a review Mar 2017,antony r,"Flintshire, United Kingdom",8 contributions,4 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r464134883-Bristol_Marriott_Royal_Hotel-Bristol_England.html,"great city break hotel,fab location",Date of stay: February 2017,,,,
"This hotel has a lot of good things going for it.  The location is great, it has lots of facilities and the staff are lovely.  I received a warm welcome and great service throughout my 2-night stay.  Every part of the hotel I visited was spotlessly clean and well-maintained.  The only down-side is that, like so many hotels, the property is in need of major refurbishment.  Everything looks a bit faded and dated, but thanks to the staff it still has charm, and it delivers great value for money.",,https://www.tripadvisor.co.uk/Profile/K8HertsUK,Kate H wrote a review Mar 2017,Kate H,"Hertfordshire, UK",52 contributions,68 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r463971992-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Fantastic service and a great location - just a bit faded,Date of stay: February 2017,,,,
"My wife and I stayed at the ""Marriott Royal"" back in October as a getaway from everything and a treat night away. The Hotel is in a great location (as are so many hotels in Bristol). The cleanliness of the room was dreadful. Pubic hairs in the bed and bath, also what appeared to be hair dye on the clean towels.The all inclusive buffet breakfast was great but we would never stay at this hotel again, because of its poor hygiene and lack of customer service, when the subject was broached with the complaints department after my visit.",,https://www.tripadvisor.co.uk/Profile/Danthechef,Danthechef wrote a review Feb 2017,Danthechef,"Weston super Mare, United Kingdom",20 contributions,10 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r463422815-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Pubic Hairs,Date of stay: October 2016,"Response from BRSRY, Guest Relations Manager at Bristol Marriott Royal Hotel
Responded 1 Mar 2017",Responded 1 Mar 2017,"Thank you for taking the time to share your recent experience at the Bristol Marriott Royal Hotel with us.   As the cleanliness of our hotel is a key priority, I am very sorry that your guestroom fell short of your expectations. Please rest assured that your comments have been shared with the housekeeping team in an effort to improve our service.      ",
"We had booked for a party of seven to attend afternoon tea at The Marriott. We've been before and as it was two party members birthday, we thought we'd book again!   We arrived at 1:15 for a 1:30 booking so we had plenty of time to get a drink and sort ourselves out before being called to our table.   We were waiting in the bar area for approximately 25-30 minutes and we were still sat there at ten two. We enquired twice during this time but both times were advised we would be taken to the table shortly.   The table was reserved and had already been made up in the other room but we were not sent through until much later.   Once we were sat at our table, we were not asked for our tea orders and it took 40 minutes before one of the bar staff came over to take our tea orders, but",,https://www.tripadvisor.co.uk/Profile/lucyh657,Lucy H wrote a review Feb 2017,Lucy H,,24 contributions,25 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r462122636-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Unorganised!,Date of stay: February 2017,"Response from Felicity W, Guest Relations Manager at Bristol Marriott Royal Hotel
Responded 24 Feb 2017",Responded 24 Feb 2017,"Good Afternoon,  Thank you for taking the time to write a review regarding your recent Afternoon Tea at the Bristol Marriott Royal Hotel. We highly appreciate all feedback as it will help us to improve our service moving forwards. Your friend Rebecca is already in contact with the General Managers PA about your experience but I would also like to extend my sincere apologies for the experience you had as this is not the usual standard we like to provide.   I hope you will be open to allowing us to improve your experience with us in the future.  Kind Regards  Felicity Walters",
"I booked the Royal Suite in this hotel as a very special occasion for myself and my girlfriend which was supposed to end with me proposing to her after spending a romantic night together, unfortunately what we experience rather killed the mood.  Upon arriving to the room, I was first greeted with a beautiful, spacious suite with fantastic views, however, on closer inspection we found that the cleaners must have been on strike in between the previous occupants and ourselves.  Dust on the surfaces, an old champagne cork in the middle of the room and a tv remote control that had been repaired with a sticking plaster didn't immediately convey the luxury advertised on the website.   To be honest, I could live with that, but when we went into the bathroom we were greeted with a level",,https://www.tripadvisor.co.uk/Profile/FrequentFlyer0679,FrequentFlyer0679 wrote a review Feb 2017,FrequentFlyer0679,"Somerset, United Kingdom",14 contributions,9 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r462086838-Bristol_Marriott_Royal_Hotel-Bristol_England.html,A disgusting experience!,Date of stay: January 2017,,,,
"I love this hotel the 2nd time here now,  they cannot do enough for you..stunning hotel.. spa Jacuzzi swimming pool.. amazing rooms are so clean an tidy.. beds are so comfy,can't wait to come back again, it's an amazing location also ",,https://www.tripadvisor.co.uk/Profile/806helend,helen d wrote a review Feb 2017,helen d,,46 contributions,12 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r461800957-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Late Valentine's,Date of stay: February 2017,,,,
"The hotel is perfectly situated on college green along side the cathedral and the harbour side are a 2 minute walk away.  The public areas and lounges are luxurious, warm and welcoming.  We didn't have a view from our room but the room itself was really spacious and well equipped. The highlight for me was the lovely Grecian style pool area and the fantastic gym. Great range of equipment, friendly helpful staff. It was a real treat.  The Buffet breakfast was excellent. Huge selection of food which was all delicious and even though it was busy the staff were friendly and efficient.  We will definitely be returning, can't wait!!",,https://www.tripadvisor.co.uk/Profile/gerry_miell,gerry_miell wrote a review Feb 2017,gerry_miell,Plymouth,30 contributions,8 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r461753385-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Perfect weekend getawat,Date of stay: February 2017,,,,
"We cannot speak highly enough of the staff at the Royal Marriot. Every re3quest we made was considered; Early check in, high floor, room away form the lifts, the storage of bags following check out to enable us to enjoy our day shopping, we had no complaint and enjoyed our one night stay immensely.  The rooms were clean, well presented and modern (the shower was warm and welcoming - a must in any hotel!) and although the Wi-FI was pretty pedestrian, we didn't book into the Hotel to surf the 'net so have no complaint there!  Breakfast was plentiful and there was a huge choice from continental to full English although I do enjoy a piping hot English breakfast and am still searching for that elusive wonder.  All in all it was a an enjoyable stay and we'd definitely consider a",,https://www.tripadvisor.co.uk/Profile/CharlieandMav,CharlieandMav wrote a review Feb 2017,CharlieandMav,"Gloucester, United Kingdom",137 contributions,11 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r461236373-Bristol_Marriott_Royal_Hotel-Bristol_England.html,A pleasure,Date of stay: February 2017,,,,
"I chose this hotel because it looked like it was good, in reality it was very tired. The furniture was undersized for the rooms and it was all very unimpressive. How it warrants 4 stars is beyond comprehension!",,https://www.tripadvisor.co.uk/Profile/Matt_Bird_Global,Matt Bird wrote a review Feb 2017,Matt Bird,"London, United Kingdom",197 contributions,54 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r461191047-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Very Tired,Date of stay: February 2017,"Response from BRSRY, Guest Relations Manager at Bristol Marriott Royal Hotel
Responded 19 Feb 2017",Responded 19 Feb 2017,"Hello Matt,  We were very sorry to learn that the hotel did not meet your expectations, however, thankful for your valuable feedback, which will be shared.",
